Channel,SW Version,2020.1
Link 0,Date and Time Started,2025-Aug-09 19:00:59
Link 0,Date and Time Ended,2025-Aug-09 19:01:21
Link 0,Scan Name,Channel 0
Link 0,Link Settings,
Link 0,Reset RX After Applying Settings,false
Link 0,Open Area,4224
Link 0,Horizontal Opening,25
Link 0,Horizontal Percentage,44.44
Link 0,Vertical Opening,161
Link 0,Vertical Percentage,67.74
Link 0,Dwell,BER
Link 0,Dwell BER,1e-9
Link 0,Dwell Time,0
Link 0,Horizontal Increment,8
Link 0,Horizontal Range,-0.500 UI to 0.500 UI
Link 0,Vertical Increment,8
Link 0,Vertical Range,100%
Link 0,Misc Info,
Link 0,Scan Start
Link 1,-32,0.57142,0.57142,0.666656,0.499992,0.666656,0.57142,0.499992,0.57142,0.57142
Link 1,-40,0.666656,0.57142,0.57142,0.499992,0.666656,0.57142,0.499992,0.666656,0.499992
Link 1,-48,0.57142,0.57142,0.57142,0.499992,0.666656,0.57142,0.499992,0.57142,0.57142
Link 1,-56,0.57142,0.499992,0.666656,0.499992,0.57142,0.57142,0.666656,0.57142,0.499992
Link 1,-64,0.57142,0.666656,0.57142,0.499992,0.666656,0.57142,0.57142,0.57142,0.499992
Link 1,-72,0.499992,0.499992,0.666656,0.499992,0.666656,0.499992,0.666656,0.57142,0.499992
Link 1,-80,0.57142,0.666656,0.57142,0.499992,0.666656,0.57142,0.57142,0.57142,0.57142
Link 1,-88,0.499992,0.57142,0.57142,0.499992,0.666656,0.57142,0.499992,0.666656,0.499992
Link 1,-96,0.444438,0.666656,0.499992,0.57142,0.57142,0.666656,0.499992,0.666656,0.444438
Link 1,-104,0.444438,0.666656,0.57142,0.499992,0.666656,0.57142,0.57142,0.57142,0.444438
Link 1,-112,0.499992,0.57142,0.57142,0.499992,0.666656,0.57142,0.666656,0.57142,0.444438
Link 1,-120,0.444438,0.666656,0.499992,0.499992,0.666656,0.499992,0.57142,0.666656,0.444438
Link 1,Scan End
Link 2,Date and Time Started,2025-Aug-09 19:01:22
Link 2,Date and Time Ended,2025-Aug-09 19:01:23
Link 2,Scan Name,Channel 2
Link 2,Link Settings,
Link 2,Reset RX After Applying Settings,false
Link 2,Open Area,0
Link 2,Horizontal Opening,0
Link 2,Horizontal Percentage,0.00
Link 2,Vertical Opening,0
Link 2,Vertical Percentage,0.00
Link 2,Dwell,BER
Link 2,Dwell BER,1e-9
Link 2,Dwell Time,0
Link 2,Horizontal Increment,8
Link 2,Horizontal Range,-0.500 UI to 0.500 UI
Link 2,Vertical Increment,8
Link 2,Vertical Range,100%
Link 2,Misc Info,
Link 2,Scan Start
Link 2,2d statistical,-32,-24,-16,-8,0,8,16,24,32
Link 2,120,0.666656,0.799988,0.799988,0.799988,0.799988,0.666656,0.799988,0.999985,0.57142
Link 2,112,0.666656,0.799988,0.799988,0.799988,0.999985,0.666656,0.799988,0.799988,0.799988
Link 2,104,0.666656,0.666656,0.799988,0.799988,0.999985,0.666656,0.799988,0.999985,0.666656
Link 2,96,0.57142,0.799988,0.799988,0.799988,0.799988,0.666656,0.799988,0.799988,0.799988
Link 2,88,0.666656,0.666656,0.799988,0.799988,0.799988,0.666656,0.799988,0.799988,0.799988
Link 2,80,0.666656,0.666656,0.799988,0.799988,0.799988,0.799988,0.799988,0.799988,0.799988
Link 2,72,0.666656,0.666656,0.799988,0.799988,0.999985,0.666656,0.799988,0.999985,0.666656
Link 2,64,0.799988,0.666656,0.799988,0.799988,0.799988,0.799988,0.799988,0.799988,0.799988
Link 2,56,0.666656,0.799988,0.799988,0.799988,0.799988,0.799988,0.799988,0.799988,0.799988
Link 2,48,0.799988,0.799988,0.799988,0.799988,0.799988,0.799988,0.799988,0.799988,0.799988
Link 2,40,0.799988,0.799988,0.799988,0.799988,0.799988,0.799988,0.799988,0.799988,0.799988
Link 2,32,0.666656,0.799988,0.799988,0.799988,0.799988,0.799988,0.666656,0.799988,0.799988
Link 2,24,0.799988,0.799988,0.799988,0.799988,0.666656,0.799988,0.799988,0.799988,0.799988
Link 2,16,0.799988,0.799988,0.799988,0.799988,0.799988,0.799988,0.799988,0.799988,0.799988
Link 2,8,0.666656,0.499992,0.57142,0.57142,0.499992,0.499992,0.499992,0.499992,0.666656
Link 2,0,0.28571,0.307688,0.266663,0.222219,0.199997,0.210523,0.222219,0.266663,0.333328
Link 2,-8,0.333328,0.333328,0.28571,0.266663,0.249996,0.249996,0.266663,0.28571,0.363631
Link 2,-16,0.222219,0.235291,0.249996,0.235291,0.210523,0.249996,0.235291,0.249996,0.235291
Link 2,-24,0.222219,0.28571,0.235291,0.235291,0.235291,0.249996,0.222219,0.266663,0.235291
Link 2,-32,0.222219,0.249996,0.266663,0.249996,0.235291,0.222219,0.222219,0.235291,0.235291
Link 2,-40,0.249996,0.266663,0.249996,0.235291,0.249996,0.249996,0.222219,0.235291,0.235291
Link 2,-48,0.199997,0.249996,0.249996,0.222219,0.249996,0.235291,0.210523,0.249996,0.222219
Link 2,-56,0.199997,0.249996,0.249996,0.210523,0.249996,0.235291,0.249996,0.266663,0.199997
Link 2,-64,0.210523,0.249996,0.235291,0.222219,0.266663,0.235291,0.235291,0.235291,0.210523
Link 2,-72,0.181815,0.222219,0.222219,0.190473,0.249996,0.210523,0.222219,0.249996,0.181815
Link 2,-80,0.17391,0.235291,0.249996,0.222219,0.266663,0.199997,0.210523,0.249996,0.199997
Link 2,-88,0.190473,0.235291,0.235291,0.210523,0.266663,0.235291,0.199997,0.249996,0.222219
Link 2,-96,0.181815,0.235291,0.266663,0.210523,0.307688,0.210523,0.235291,0.249996,0.190473
Link 2,-104,0.148146,0.235291,0.235291,0.190473,0.28571,0.235291,0.235291,0.266663,0.148146
Link 2,-112,0.148146,0.249996,0.249996,0.210523,0.363631,0.235291,0.222219,0.235291,0.153844
Link 2,-120,0.148146,0.222219,0.235291,0.222219,0.307688,0.210523,0.235291,0.266663,0.199997
Link 2,Scan End
Link 3,Date and Time Started,2025-Aug-09 19:01:23
Link 3,Date and Time Ended,2025-Aug-09 19:01:24
Link 3,Scan Name,Channel 3
Link 3,Link Settings,
Link 3,Reset RX After Applying Settings,false
Link 3,Open Area,0
Link 3,Horizontal Opening,0
Link 3,Horizontal Percentage,0.00
Link 3,Vertical Opening,0
Link 3,Vertical Percentage,0.00
Link 3,Dwell,BER
Link 3,Dwell BER,1e-9
Link 3,Dwell Time,0
Link 3,Horizontal Increment,8
Link 3,Horizontal Range,-0.500 UI to 0.500 UI
Link 3,Vertical Increment,8
Link 3,Vertical Range,100%
Link 3,Misc Info,
Link 3,Scan Start
Link 3,2d statistical,-32,-24,-16,-8,0,8,16,24,32
Link 3,120,0.363631,0.57142,0.444438,0.499992,0.57142,0.499992,0.499992,0.57142,0.399994
Link 3,112,0.399994,0.57142,0.444438,0.499992,0.666656,0.57142,0.499992,0.666656,0.399994
Link 3,104,0.399994,0.499992,0.499992,0.444438,0.666656,0.499992,0.57142,0.57142,0.399994
Link 3,96,0.399994,0.444438,0.444438,0.499992,0.499992,0.57142,0.444438,0.57142,0.444438
Link 3,88,0.444438,0.499992,0.444438,0.499992,0.666656,0.499992,0.57142,0.57142,0.399994
Link 3,80,0.363631,0.57142,0.57142,0.444438,0.57142,0.57142,0.444438,0.57142,0.499992
Link 3,72,0.399994,0.499992,0.499992,0.499992,0.499992,0.499992,0.57142,0.57142,0.399994
Link 3,64,0.499992,0.57142,0.57142,0.499992,0.57142,0.57142,0.57142,0.57142,0.499992
Link 3,56,0.499992,0.499992,0.57142,0.57142,0.666656,0.499992,0.57142,0.499992,0.444438
Link 3,48,0.499992,0.499992,0.499992,0.444438,0.499992,0.57142,0.499992,0.499992,0.499992
Link 3,40,0.399994,0.57142,0.444438,0.57142,0.499992,0.444438,0.499992,0.57142,0.444438
Link 3,32,0.499992,0.444438,0.499992,0.499992,0.57142,0.444438,0.499992,0.57142,0.444438
Link 3,24,0.499992,0.57142,0.499992,0.499992,0.499992,0.499992,0.499992,0.499992,0.57142
Link 3,16,0.444438,0.444438,0.499992,0.499992,0.499992,0.444438,0.444438,0.499992,0.499992
Link 3,8,0.363631,0.333328,0.266663,0.199997,0.148146,0.166664,0.222219,0.307688,0.333328
Link 3,0,0.499992,0.399994,0.444438,0.399994,0.363631,0.444438,0.399994,0.444438,0.399994
Link 3,-8,0.499992,0.399994,0.399994,0.363631,0.399994,0.363631,0.399994,0.399994,0.499992
Link 3,-16,0.444438,0.444438,0.444438,0.499992,0.499992,0.444438,0.444438,0.499992,0.444438
Link 3,-24,0.499992,0.444438,0.444438,0.444438,0.499992,0.444438,0.399994,0.499992,0.444438
Link 3,-32,0.399994,0.499992,0.57142,0.444438,0.499992,0.444438,0.57142,0.499992,0.399994
Link 3,-40,0.444438,0.499992,0.57142,0.444438,0.499992,0.499992,0.444438,0.57142,0.399994
Link 3,-48,0.399994,0.444438,0.57142,0.444438,0.499992,0.444438,0.499992,0.444438,0.444438
Link 3,-56,0.444438,0.57142,0.499992,0.444438,0.499992,0.499992,0.444438,0.499992,0.399994
Link 3,-64,0.399994,0.444438,0.57142,0.444438,0.499992,0.444438,0.57142,0.499992,0.444438
Link 3,-72,0.399994,0.444438,0.499992,0.499992,0.499992,0.499992,0.57142,0.499992,0.363631
Link 3,-80,0.399994,0.499992,0.499992,0.444438,0.57142,0.499992,0.499992,0.499992,0.399994
Link 3,-88,0.399994,0.444438,0.57142,0.444438,0.57142,0.499992,0.57142,0.499992,0.399994
Link 3,-96,0.399994,0.57142,0.499992,0.444438,0.57142,0.499992,0.444438,0.499992,0.363631
Link 3,-104,0.363631,0.499992,0.57142,0.444438,0.499992,0.444438,0.444438,0.57142,0.363631
Link 3,-112,0.363631,0.444438,0.499992,0.444438,0.57142,0.444438,0.499992,0.499992,0.333328
Link 3,-120,0.333328,0.499992,0.499992,0.444438,0.499992,0.499992,0.499992,0.57142,0.333328
Link 3,Scan End
